"frameIdx","number","x","y","z","GK","snippet","team"
35876,8,13.61,-12.22,0,0,1,"home"
35876,16,44.97,-13.67,0,0,1,"home"
35876,13,48.94,-1.48,0,1,1,"home"
35876,24,35.77,26,0,0,1,"home"
35876,7,-1.04,-9.12,0,0,1,"home"
35876,29,3.12,-2.01,0,0,1,"home"
35876,5,38.31,-0.86,0,0,1,"home"
35876,14,27.01,-0.1,0,0,1,"home"
35876,20,25.83,3.56,0,0,1,"home"
35876,25,29.3,-29.85,0,0,1,"home"
35876,11,4.26,22.96,0,0,1,"home"
35877,8,13.76,-12.22,0,0,1,"home"
35877,24,35.73,25.95,0,0,1,"home"
35877,16,44.97,-13.69,0,0,1,"home"
35877,13,48.94,-1.5,0,1,1,"home"
35877,7,-1.03,-9.19,0,0,1,"home"
35877,29,3.1,-2.06,0,0,1,"home"
35877,5,38.25,-0.9,0,0,1,"home"
35877,14,26.88,-0.15,0,0,1,"home"
35877,20,25.78,3.59,0,0,1,"home"
35877,25,29.16,-29.88,0,0,1,"home"
35877,11,4.24,23,0,0,1,"home"
35878,8,13.91,-12.22,0,0,1,"home"
35878,16,44.96,-13.71,0,0,1,"home"
35878,24,35.7,25.91,0,0,1,"home"
35878,13,48.95,-1.51,0,1,1,"home"
35878,7,-1,-9.26,0,0,1,"home"
35878,29,3.06,-2.11,0,0,1,"home"
35878,5,38.21,-0.92,0,0,1,"home"
35878,14,26.75,-0.2,0,0,1,"home"
35878,20,25.74,3.63,0,0,1,"home"
35878,25,29.03,-29.91,0,0,1,"home"
35878,11,4.22,23.04,0,0,1,"home"
35879,8,14.05,-12.22,0,0,1,"home"
35879,16,44.95,-13.74,0,0,1,"home"
35879,13,48.95,-1.52,0,1,1,"home"
35879,24,35.66,25.86,0,0,1,"home"
35879,7,-0.98,-9.32,0,0,1,"home"
35879,29,3.04,-2.16,0,0,1,"home"
35879,5,38.15,-0.96,0,0,1,"home"
35879,14,26.62,-0.25,0,0,1,"home"
35879,20,25.7,3.67,0,0,1,"home"
35879,25,28.89,-29.94,0,0,1,"home"
35879,11,4.19,23.08,0,0,1,"home"
35880,8,14.19,-12.23,0,0,1,"home"
35880,24,35.63,25.81,0,0,1,"home"
35880,13,48.95,-1.53,0,1,1,"home"
35880,16,44.94,-13.76,0,0,1,"home"
35880,7,-0.96,-9.39,0,0,1,"home"
35880,14,26.49,-0.29,0,0,1,"home"
35880,5,38.1,-0.99,0,0,1,"home"
35880,29,3.01,-2.21,0,0,1,"home"
35880,20,25.66,3.71,0,0,1,"home"
35880,25,28.76,-29.97,0,0,1,"home"
35880,11,4.17,23.12,0,0,1,"home"
35881,8,14.32,-12.23,0,0,1,"home"
35881,24,35.59,25.76,0,0,1,"home"
