"frameIdx","number","x","y","z","GK","snippet","team"
35876,44,20.04,-19.4,0,0,1,"away"
35876,11,36.65,4.28,0,0,1,"away"
35876,38,0.61,17.99,0,0,1,"away"
35876,15,3.87,-2.12,0,0,1,"away"
35876,6,-2.65,-9.4,0,0,1,"away"
35876,14,29.21,-3.01,0,0,1,"away"
35876,17,35.77,-12.69,0,0,1,"away"
35876,3,24.64,20.66,0,0,1,"away"
35876,32,-30.09,-0.14,0,1,1,"away"
35876,20,11.44,-12.13,0,0,1,"away"
35876,9,28.23,4.12,0,0,1,"away"
35877,44,20.02,-19.41,0,0,1,"away"
35877,11,36.6,4.17,0,0,1,"away"
35877,38,0.57,17.97,0,0,1,"away"
35877,14,29.12,-3.06,0,0,1,"away"
35877,15,3.81,-2.18,0,0,1,"away"
35877,6,-2.62,-9.5,0,0,1,"away"
35877,17,35.75,-12.71,0,0,1,"away"
35877,3,24.52,20.61,0,0,1,"away"
35877,32,-30.09,-0.17,0,1,1,"away"
35877,20,11.62,-12.12,0,0,1,"away"
35877,9,28.17,4.08,0,0,1,"away"
35878,44,19.99,-19.43,0,0,1,"away"
35878,11,36.56,4.07,0,0,1,"away"
35878,38,0.53,17.95,0,0,1,"away"
35878,15,3.75,-2.25,0,0,1,"away"
35878,6,-2.58,-9.61,0,0,1,"away"
35878,14,29.03,-3.1,0,0,1,"away"
35878,17,35.74,-12.74,0,0,1,"away"
35878,3,24.41,20.56,0,0,1,"away"
35878,32,-30.09,-0.2,0,1,1,"away"
35878,20,11.81,-12.12,0,0,1,"away"
35878,9,28.1,4.04,0,0,1,"away"
35879,44,19.96,-19.45,0,0,1,"away"
35879,11,36.5,3.96,0,0,1,"away"
35879,38,0.48,17.95,0,0,1,"away"
35879,14,28.93,-3.16,0,0,1,"away"
35879,6,-2.54,-9.72,0,0,1,"away"
35879,15,3.68,-2.32,0,0,1,"away"
35879,17,35.71,-12.76,0,0,1,"away"
35879,3,24.29,20.51,0,0,1,"away"
35879,32,-30.09,-0.22,0,1,1,"away"
35879,20,11.98,-12.12,0,0,1,"away"
35879,9,28.03,4.01,0,0,1,"away"
35880,44,19.93,-19.47,0,0,1,"away"
35880,11,36.45,3.87,0,0,1,"away"
35880,38,0.44,17.94,0,0,1,"away"
35880,14,28.84,-3.21,0,0,1,"away"
35880,15,3.61,-2.39,0,0,1,"away"
35880,6,-2.5,-9.82,0,0,1,"away"
35880,17,35.69,-12.77,0,0,1,"away"
35880,3,24.18,20.46,0,0,1,"away"
35880,32,-30.1,-0.25,0,1,1,"away"
35880,20,12.15,-12.12,0,0,1,"away"
35880,9,27.96,3.98,0,0,1,"away"
35881,44,19.89,-19.5,0,0,1,"away"
35881,11,36.39,3.76,0,0,1,"away"
35881,38,0.39,17.94,0,0,1,"away"
35881,14,28.74,-3.27,0,0,1,"away"
35881,15,3.53,-2.46,0,0,1,"away"
35881,6,-2.47,-9.93,0,0,1,"away"
35881,17,35.66,-12.79,0,0,1,"away"
35881,3,24.06,20.41,0,0,1,"away"
35881,32,-30.1,-0.27,0,1,1,"away"
35881,20,12.32,-12.13,0,0,1,"away"
35881,9,27.9,3.95,0,0,1,"away"
35882,44,19.85,-19.52,0,0,1,"away"
35882,11,36.34,3.67,0,0,1,"away"
35882,38,0.35,17.95,0,0,1,"away"
35882,14,28.66,-3.32,0,0,1,"away"
35882,15,3.44,-2.53,0,0,1,"away"
35882,6,-2.43,-10.03,0,0,1,"away"
35882,17,35.62,-12.8,0,0,1,"away"
35882,3,23.95,20.37,0,0,1,"away"
35882,32,-30.11,-0.29,0,1,1,"away"
35882,20,12.48,-12.13,0,0,1,"away"
35882,9,27.83,3.91,0,0,1,"away"
35883,44,19.81,-19.54,0,0,1,"away"
35883,11,36.28,3.57,0,0,1,"away"
35883,38,0.3,17.95,0,0,1,"away"
35883,14,28.56,-3.38,0,0,1,"away"
35883,6,-2.4,-10.13,0,0,1,"away"
35883,15,3.35,-2.6,0,0,1,"away"
35883,17,35.59,-12.81,0,0,1,"away"
35883,3,23.83,20.32,0,0,1,"away"
35883,32,-30.11,-0.32,0,1,1,"away"
35883,20,12.64,-12.14,0,0,1,"away"
35883,9,27.76,3.88,0,0,1,"away"
35884,44,19.76,-19.57,0,0,1,"away"
35884,11,36.23,3.48,0,0,1,"away"
35884,38,0.26,17.96,0,0,1,"away"
35884,15,3.26,-2.66,0,0,1,"away"
35884,14,28.47,-3.44,0,0,1,"away"
35884,6,-2.37,-10.23,0,0,1,"away"
35884,17,35.55,-12.81,0,0,1,"away"
35884,3,23.71,20.28,0,0,1,"away"
35884,32,-30.11,-0.33,0,1,1,"away"
35884,20,12.79,-12.15,0,0,1,"away"
35884,9,27.69,3.85,0,0,1,"away"
