"frameIdx","gameClock","lastTouch","homeAttPos","xBall","yBall","zBall","speedBall","snippet"
35876,1435.04,"away",TRUE,37.39,-1.4,0.22,1.31,1
35877,1435.08,"away",TRUE,37.35,-1.43,0.22,1.27,1
35878,1435.12,"away",TRUE,37.32,-1.46,0.22,1.24,1
35879,1435.16,"away",TRUE,37.28,-1.49,0.22,1.21,1
35880,1435.2,"away",TRUE,37.24,-1.52,0.22,1.17,1
35881,1435.24,"away",TRUE,37.2,-1.54,0.22,1.17,1
35882,1435.28,"away",TRUE,37.18,-1.56,0.22,1.21,1
35883,1435.32,"away",TRUE,37.15,-1.61,0.24,1.31,1
35884,1435.36,"away",TRUE,37.11,-1.63,0.24,1.4,1
35885,1435.4,"away",TRUE,37.08,-1.65,0.24,1.54,1
35886,1435.44,"away",TRUE,37.05,-1.67,0.23,1.69,1
35887,1435.48,"away",TRUE,37.02,-1.7,0.23,1.87,1
35888,1435.52,"away",TRUE,36.97,-1.74,0.22,2.05,1
35889,1435.56,"away",TRUE,36.95,-1.76,0.24,2.27,1
35890,1435.6,"away",TRUE,36.92,-1.76,0.24,2.47,1
35891,1435.64,"away",TRUE,36.87,-1.92,0.24,2.65,1
35892,1435.68,"away",TRUE,36.74,-2.02,0.24,2.82,1
35893,1435.72,"away",TRUE,36.57,-2.14,0.24,2.96,1
35894,1435.76,"away",TRUE,36.49,-2.17,0.24,3.08,1
35895,1435.8,"away",TRUE,36.36,-2.33,0.24,3.18,1
35896,1435.84,"away",TRUE,36.26,-2.45,0.23,3.25,1
35897,1435.88,"away",TRUE,36.15,-2.56,0.23,3.28,1
35898,1435.92,"away",TRUE,36.06,-2.65,0.22,3.28,1
35899,1435.96,"away",TRUE,35.91,-2.85,0.22,3.26,1
35900,1436,"away",TRUE,35.86,-2.91,0.23,3.2,1
35901,1436.04,"away",TRUE,35.79,-2.98,0.23,3.09,1
35902,1436.08,"away",TRUE,35.72,-3.06,0.23,2.98,1
35903,1436.12,"away",TRUE,35.66,-3.13,0.24,2.87,1
35904,1436.16,"away",TRUE,35.58,-3.22,0.24,2.78,1
35905,1436.2,"away",TRUE,35.52,-3.28,0.24,2.66,1
35906,1436.24,"away",TRUE,35.44,-3.35,0.24,2.56,1
35907,1436.28,"away",TRUE,35.37,-3.41,0.24,2.84,1
35908,1436.32,"away",TRUE,35.29,-3.48,0.24,3.07,1
35909,1436.36,"away",TRUE,35.22,-3.54,0.24,3.86,1
35910,1436.4,"away",TRUE,35.15,-3.62,0.24,4.57,1
35911,1436.44,"away",TRUE,35.08,-3.67,0.24,5.58,1
35912,1436.48,"away",TRUE,35.02,-3.74,0.24,6.76,1
35913,1436.52,"away",TRUE,34.96,-3.81,0.25,8.07,1
35914,1436.56,"away",TRUE,34.92,-3.88,0.25,9.49,1
35915,1436.6,"away",TRUE,34.89,-3.95,0.27,10.93,1
35916,1436.64,"away",TRUE,34.79,-3.97,0.24,12.39,1
35917,1436.68,"away",TRUE,34.15,-5.04,0.5,13.82,1
35918,1436.72,"away",TRUE,34.15,-5.04,0.47,15.1,1
35919,1436.76,"away",TRUE,33.27,-6.76,0.77,16.59,1
35920,1436.8,"away",TRUE,33.29,-6.76,0.8,17.88,1
35921,1436.84,"away",TRUE,32.78,-7.95,0.94,19.02,1
35922,1436.88,"away",TRUE,32.36,-8.87,1.02,20.02,1
35923,1436.92,"away",TRUE,31.98,-9.72,1.05,20.86,1
35924,1436.96,"away",TRUE,31.56,-10.66,1.1,21.54,1
35925,1437,"away",TRUE,31.23,-11.36,1.12,21.98,1
35926,1437.04,"away",TRUE,30.87,-12.15,1.14,21.9,1
35927,1437.08,"away",TRUE,30.53,-12.88,1.14,21.57,1
35928,1437.12,"away",TRUE,30.27,-13.35,1.13,21.34,1
35929,1437.16,"away",TRUE,29.73,-14.89,1,20.77,1
35930,1437.2,"away",TRUE,29.51,-15.42,0.94,20.56,1
35931,1437.24,"away",TRUE,29.25,-16.13,0.83,20.02,1
35932,1437.28,"away",TRUE,28.98,-16.96,0.68,19.62,1
35933,1437.32,"away",TRUE,28.7,-17.78,0.55,19.26,1
35934,1437.36,"away",TRUE,28.41,-18.67,0.38,18.85,1
35935,1437.4,"away",TRUE,28.13,-19.41,0.22,18.55,1
35936,1437.44,"away",TRUE,28.11,-19.41,0.19,18.15,1
35937,1437.48,"away",TRUE,27.86,-20.25,0.39,17.78,1
35938,1437.52,"away",TRUE,27.67,-20.92,0.51,17.36,1
35939,1437.56,"away",TRUE,27.5,-21.61,0.6,16.83,1
35940,1437.6,"away",TRUE,27.3,-22.32,0.69,16.57,1
35941,1437.64,"away",TRUE,27.12,-22.98,0.77,16.21,1
35942,1437.68,"away",TRUE,26.95,-23.68,0.84,15.8,1
35943,1437.72,"away",TRUE,26.71,-24.34,0.88,15.6,1
35944,1437.76,"away",TRUE,26.74,-24.82,0.83,15.37,1
35945,1437.8,"away",TRUE,26.38,-25.56,0.83,15.25,1
35946,1437.84,"away",TRUE,26.43,-26.02,0.77,15.01,1
35947,1437.88,"away",TRUE,26.21,-26.65,0.71,14.59,1
35948,1437.92,"away",TRUE,26.06,-27.15,0.63,14.07,1
35949,1437.96,"away",TRUE,25.92,-27.68,0.52,13.41,1
35950,1438,"away",TRUE,25.78,-28.2,0.42,12.65,1
35951,1438.04,"away",TRUE,25.65,-28.63,0.33,11.82,1
35952,1438.08,"away",TRUE,25.57,-29.01,0.24,10.92,1
35953,1438.12,"away",TRUE,25.34,-30.01,0.27,10,1
35954,1438.16,"away",TRUE,25.28,-30.33,0.33,9.05,1
35955,1438.2,"away",TRUE,25.19,-30.95,0.45,8.04,1
35956,1438.24,"away",TRUE,25.19,-30.95,0.45,7.09,1
35957,1438.28,"away",TRUE,25.09,-31.61,0.6,6.11,1
35958,1438.32,"away",TRUE,25.14,-31.58,0.65,5.21,1
35959,1438.36,"away",TRUE,25.21,-31.58,0.75,4.31,1
35960,1438.4,"away",TRUE,25.24,-31.58,0.81,3.48,1
35961,1438.44,"away",TRUE,25.28,-31.58,0.84,2.72,1
35962,1438.48,"away",TRUE,25.32,-31.58,0.87,2.04,1
35963,1438.52,"away",TRUE,25.37,-31.58,0.89,1.48,1
35964,1438.56,"away",TRUE,25.42,-31.58,0.9,1.23,1
35965,1438.6,"away",TRUE,25.49,-31.58,0.9,1.1,1
35966,1438.64,"away",TRUE,25.51,-31.6,0.87,1.08,1
35967,1438.68,"away",TRUE,25.54,-31.61,0.83,1.06,1
35968,1438.72,"away",TRUE,25.49,-31.68,0.83,1.04,1
35969,1438.76,"away",TRUE,25.6,-31.63,0.72,1.02,1
35970,1438.8,"away",TRUE,25.66,-31.62,0.61,1.01,1
35971,1438.84,"away",TRUE,25.72,-31.62,0.52,1.01,1
35972,1438.88,"away",TRUE,25.77,-31.62,0.45,1.01,1
